Date, Time,Heater setpoint,Heater temperature
08/11/2020,19:17:40.694,1.30,24.60
08/11/2020,19:17:51.156,0.00,24.60
08/11/2020,19:18:01.157,0.00,24.50
08/11/2020,19:18:11.258,24.40,24.50
08/11/2020,19:18:21.259,21.90,24.50
08/11/2020,19:18:31.757,19.10,24.50
08/11/2020,19:18:41.759,16.50,24.40
08/11/2020,19:18:52.256,13.80,24.40
08/11/2020,19:19:02.257,11.30,24.40
08/11/2020,19:19:12.259,8.70,24.40
08/11/2020,19:19:22.757,6.00,24.30
08/11/2020,19:19:32.757,3.40,24.30
08/11/2020,19:19:42.759,0.80,24.30
08/11/2020,19:19:53.154,0.00,24.30
08/11/2020,19:20:03.155,0.00,24.30
08/11/2020,19:20:13.156,0.00,24.30
08/11/2020,19:20:23.156,0.00,24.30
08/11/2020,19:20:33.656,0.00,24.20
08/11/2020,19:20:43.657,0.00,24.20
08/11/2020,19:20:54.156,0.00,24.20
08/11/2020,19:21:04.157,0.00,24.20
08/11/2020,19:21:14.654,0.00,24.20
08/11/2020,19:21:24.657,0.00,24.20
08/11/2020,19:21:35.156,0.00,24.20
08/11/2020,19:21:45.156,0.00,24.20
08/11/2020,19:21:55.656,0.00,24.20
08/11/2020,19:22:05.657,0.00,24.20
08/11/2020,19:22:15.658,0.00,24.20
08/11/2020,19:22:26.157,0.00,24.10
08/11/2020,19:22:36.654,0.00,24.10
08/11/2020,19:22:46.655,0.00,24.10
08/11/2020,19:22:56.658,0.00,24.10
08/11/2020,19:23:07.155,0.00,24.20
08/11/2020,19:23:17.157,0.00,24.10
08/11/2020,19:23:27.657,0.00,24.10
08/11/2020,19:23:38.154,0.00,24.10
08/11/2020,19:23:48.160,0.00,24.20
08/11/2020,19:23:58.657,0.00,24.20
08/11/2020,19:24:09.155,0.00,24.20
08/11/2020,19:24:19.156,0.00,24.20
08/11/2020,19:24:29.657,0.00,24.20
08/11/2020,19:24:40.154,0.00,24.20
08/11/2020,19:24:50.656,0.00,24.20
08/11/2020,19:25:01.156,0.00,24.20
08/11/2020,19:25:11.656,0.00,24.60
08/11/2020,19:25:22.156,0.00,25.50
08/11/2020,19:25:32.158,0.00,25.70
08/11/2020,19:25:42.654,0.00,24.50
08/11/2020,19:25:52.654,0.00,24.40
08/11/2020,19:26:02.656,0.00,24.30
08/11/2020,19:26:13.155,0.00,24.40
08/11/2020,19:26:23.156,0.00,24.40
08/11/2020,19:26:33.655,0.00,24.40
08/11/2020,19:26:43.659,0.00,24.40
08/11/2020,19:26:54.157,0.00,27.10
08/11/2020,19:27:04.655,0.00,27.20
08/11/2020,19:27:14.656,0.00,27.10
08/11/2020,19:27:25.156,0.00,27.00
08/11/2020,19:27:35.656,0.00,26.90
08/11/2020,19:27:45.656,0.00,26.90
08/11/2020,19:27:55.657,0.00,26.80
08/11/2020,19:28:06.155,0.00,26.80
08/11/2020,19:28:16.157,0.00,26.80
08/11/2020,19:28:26.655,0.00,26.80
08/11/2020,19:28:36.655,0.00,26.70
08/11/2020,19:28:46.657,0.00,26.70
08/11/2020,19:28:56.657,0.00,26.60
08/11/2020,19:29:06.657,0.00,26.60
08/11/2020,19:29:16.953,0.00,0.00
08/11/2020,19:29:26.954,0.00,0.00
08/11/2020,19:29:36.954,0.00,0.00
