Date, Time,Heater setpoint,Heater temperature
20/08/2020,00:00:00.620,0.00,38.20
20/08/2020,00:00:11.118,0.00,38.10
20/08/2020,00:00:21.119,0.00,38.10
20/08/2020,00:00:31.620,0.00,38.00
20/08/2020,00:00:42.119,0.00,38.00
20/08/2020,00:00:52.619,0.00,37.90
20/08/2020,00:01:03.122,0.00,37.90
20/08/2020,00:01:13.620,0.00,37.80
20/08/2020,00:01:24.120,0.00,37.80
20/08/2020,00:01:34.620,0.00,37.70
20/08/2020,00:01:45.120,0.00,37.70
20/08/2020,00:01:55.120,0.00,37.70
20/08/2020,00:02:05.120,0.00,37.60
20/08/2020,00:02:15.123,0.00,37.60
20/08/2020,00:02:25.621,0.00,37.50
20/08/2020,00:02:36.120,0.00,37.50
20/08/2020,00:02:46.121,0.00,37.50
20/08/2020,00:02:56.621,0.00,37.40
20/08/2020,00:03:07.122,0.00,37.40
20/08/2020,00:03:17.621,0.00,37.30
20/08/2020,00:03:28.120,0.00,37.30
20/08/2020,00:03:38.123,0.00,37.20
20/08/2020,00:03:48.621,0.00,37.20
20/08/2020,00:03:58.622,0.00,37.20
20/08/2020,00:04:09.121,0.00,37.10
20/08/2020,00:04:19.122,0.00,37.10
20/08/2020,00:04:29.623,0.00,37.00
20/08/2020,00:04:40.121,0.00,37.00
20/08/2020,00:04:50.621,0.00,36.90
20/08/2020,00:05:01.121,0.00,36.90
20/08/2020,00:05:11.619,0.00,36.80
20/08/2020,00:05:22.121,0.00,36.80
20/08/2020,00:05:32.619,0.00,36.80
20/08/2020,00:05:43.121,0.00,36.70
20/08/2020,00:05:53.621,0.00,36.70
20/08/2020,00:06:04.120,0.00,36.70
20/08/2020,00:06:14.120,0.00,36.60
20/08/2020,00:06:24.121,0.00,36.60
20/08/2020,00:06:34.121,0.00,36.60
20/08/2020,00:06:44.620,0.00,36.50
20/08/2020,00:06:54.622,0.00,36.50
20/08/2020,00:07:04.623,0.00,36.40
20/08/2020,00:07:15.121,0.00,36.40
20/08/2020,00:07:25.621,0.00,36.40
20/08/2020,00:07:36.120,0.00,36.30
20/08/2020,00:07:46.121,0.00,36.30
20/08/2020,00:07:56.619,0.00,36.20
20/08/2020,00:08:06.621,0.00,36.20
20/08/2020,00:08:17.119,0.00,36.20
20/08/2020,00:08:27.122,0.00,36.10
20/08/2020,00:08:37.621,0.00,36.10
20/08/2020,00:08:48.120,0.00,36.00
20/08/2020,00:08:58.121,0.00,36.00
20/08/2020,00:09:08.121,0.00,36.00
20/08/2020,00:09:18.122,0.00,35.90
20/08/2020,00:09:28.621,0.00,35.90
20/08/2020,00:09:38.622,0.00,35.90
20/08/2020,00:09:49.121,0.00,35.80
20/08/2020,00:09:59.121,0.00,35.80
20/08/2020,00:10:09.122,0.00,35.80
20/08/2020,00:10:19.621,0.00,35.70
20/08/2020,00:10:29.622,0.00,35.70
20/08/2020,00:10:40.121,0.00,35.60
20/08/2020,00:10:50.121,0.00,35.60
20/08/2020,00:11:00.123,0.00,35.60
20/08/2020,00:11:10.622,0.00,35.50
20/08/2020,00:11:21.120,0.00,35.50
20/08/2020,00:11:31.619,0.00,35.50
20/08/2020,00:11:41.621,0.00,35.40
20/08/2020,00:11:52.119,0.00,35.40
20/08/2020,00:12:02.121,0.00,35.40
20/08/2020,00:12:12.621,0.00,35.30
20/08/2020,00:12:23.120,0.00,35.30
20/08/2020,00:12:33.621,0.00,35.30
20/08/2020,00:12:43.622,0.00,35.20
20/08/2020,00:12:54.120,0.00,35.20
20/08/2020,00:13:04.120,0.00,35.20
20/08/2020,00:13:14.620,0.00,35.10
20/08/2020,00:13:25.120,0.00,35.10
20/08/2020,00:13:35.120,0.00,35.10
20/08/2020,00:13:45.122,0.00,35.00
20/08/2020,00:13:55.621,0.00,35.00
20/08/2020,00:14:05.622,0.00,35.00
20/08/2020,00:14:16.120,0.00,34.90
20/08/2020,00:14:26.622,0.00,34.90
20/08/2020,00:14:37.121,0.00,34.90
20/08/2020,00:14:47.621,0.00,34.80
20/08/2020,00:14:57.622,0.00,34.80
20/08/2020,00:15:08.121,0.00,34.70
20/08/2020,00:15:18.620,0.00,34.70
20/08/2020,00:15:29.120,0.00,34.70
