Date, Time,Heater setpoint,Heater temperature
28/08/2020,00:00:03.898,0.00,26.60
28/08/2020,00:00:13.899,0.00,26.60
28/08/2020,00:00:24.399,0.00,26.60
28/08/2020,00:00:34.899,0.00,26.60
28/08/2020,00:00:45.398,0.00,26.60
28/08/2020,00:00:55.898,0.00,26.60
28/08/2020,00:01:06.398,0.00,26.60
28/08/2020,00:01:16.899,0.00,26.60
28/08/2020,00:01:27.398,0.00,26.60
28/08/2020,00:01:37.899,0.00,26.60
28/08/2020,00:01:48.398,0.00,26.60
28/08/2020,00:01:58.899,0.00,26.60
28/08/2020,00:02:09.398,0.00,26.60
28/08/2020,00:02:19.398,0.00,26.60
28/08/2020,00:02:29.897,0.00,26.60
28/08/2020,00:02:39.898,0.00,26.60
28/08/2020,00:02:49.898,0.00,26.60
28/08/2020,00:03:00.399,0.00,26.60
28/08/2020,00:03:10.897,0.00,26.60
28/08/2020,00:03:21.397,0.00,26.60
28/08/2020,00:03:31.897,0.00,26.60
28/08/2020,00:03:42.396,0.00,26.60
28/08/2020,00:03:52.398,0.00,26.60
28/08/2020,00:04:02.897,0.00,26.60
28/08/2020,00:04:13.396,0.00,26.60
28/08/2020,00:04:23.397,0.00,26.60
28/08/2020,00:04:33.398,0.00,26.60
28/08/2020,00:04:43.898,0.00,26.60
28/08/2020,00:04:54.399,0.00,26.60
28/08/2020,00:05:04.899,0.00,26.60
28/08/2020,00:05:15.399,0.00,26.60
28/08/2020,00:05:25.897,0.00,26.60
28/08/2020,00:05:36.397,0.00,26.60
28/08/2020,00:05:46.897,0.00,26.60
28/08/2020,00:05:57.397,0.00,26.60
28/08/2020,00:06:07.899,0.00,26.60
28/08/2020,00:06:18.396,0.00,26.60
28/08/2020,00:06:28.398,0.00,26.60
28/08/2020,00:06:38.898,0.00,26.60
28/08/2020,00:06:49.397,0.00,26.60
28/08/2020,00:06:59.398,0.00,26.50
28/08/2020,00:07:09.897,0.00,26.60
28/08/2020,00:07:20.397,0.00,26.60
28/08/2020,00:07:30.398,0.00,26.50
28/08/2020,00:07:40.897,0.00,26.50
28/08/2020,00:07:51.399,0.00,26.50
28/08/2020,00:08:01.897,0.00,26.50
28/08/2020,00:08:12.398,0.00,26.50
28/08/2020,00:08:22.897,0.00,26.50
28/08/2020,00:08:33.396,0.00,26.50
28/08/2020,00:08:43.397,0.00,26.50
28/08/2020,00:08:53.897,0.00,26.50
28/08/2020,00:09:04.398,0.00,26.50
28/08/2020,00:09:14.897,0.00,26.50
28/08/2020,00:09:25.398,0.00,26.50
28/08/2020,00:09:35.897,0.00,26.50
28/08/2020,00:09:45.898,0.00,26.50
28/08/2020,00:09:55.898,0.00,26.50
28/08/2020,00:10:06.397,0.00,26.50
28/08/2020,00:10:16.898,0.00,26.50
28/08/2020,00:10:26.898,0.00,26.50
28/08/2020,00:10:37.396,0.00,26.50
28/08/2020,00:10:47.397,0.00,26.50
28/08/2020,00:10:57.897,0.00,26.50
28/08/2020,00:11:07.897,0.00,26.50
28/08/2020,00:11:18.395,0.00,26.50
28/08/2020,00:11:28.397,0.00,26.50
28/08/2020,00:11:38.398,0.00,26.50
28/08/2020,00:11:48.897,0.00,26.50
28/08/2020,00:11:58.898,0.00,26.50
28/08/2020,00:12:09.398,0.00,26.50
28/08/2020,00:12:19.898,0.00,26.50
28/08/2020,00:12:29.898,0.00,26.50
28/08/2020,00:12:40.398,0.00,26.50
28/08/2020,00:12:50.896,0.00,26.50
28/08/2020,00:13:00.898,0.00,26.50
28/08/2020,00:13:11.396,0.00,26.50
28/08/2020,00:13:21.897,0.00,26.50
28/08/2020,00:13:31.898,0.00,26.50
28/08/2020,00:13:42.398,0.00,26.50
28/08/2020,00:13:52.897,0.00,26.50
28/08/2020,00:14:02.898,0.00,26.50
28/08/2020,00:14:13.397,0.00,26.50
28/08/2020,00:14:23.896,0.00,26.50
28/08/2020,00:14:34.397,0.00,26.50
28/08/2020,00:14:44.398,0.00,26.50
28/08/2020,00:14:54.895,0.00,26.50
28/08/2020,00:15:04.898,0.00,26.50
28/08/2020,00:15:14.898,0.00,26.50
28/08/2020,00:15:25.398,0.00,26.50
28/08/2020,00:15:35.897,0.00,26.50
28/08/2020,00:15:46.398,0.00,26.50
28/08/2020,00:15:56.897,0.00,26.50
28/08/2020,00:16:07.398,0.00,26.50
28/08/2020,00:16:17.398,0.00,26.50
28/08/2020,00:16:27.896,0.00,26.50
28/08/2020,00:16:37.896,0.00,26.50
28/08/2020,00:16:48.396,0.00,26.50
28/08/2020,00:16:58.397,0.00,26.50
28/08/2020,00:17:08.397,0.00,26.50
28/08/2020,00:17:18.898,0.00,26.40
28/08/2020,00:17:29.397,0.00,26.50
28/08/2020,00:17:39.897,0.00,26.50
28/08/2020,00:17:50.396,0.00,26.50
28/08/2020,00:18:00.396,0.00,26.40
28/08/2020,00:18:10.397,0.00,26.40
28/08/2020,00:18:20.895,0.00,26.40
28/08/2020,00:18:30.897,0.00,26.40
28/08/2020,00:18:40.898,0.00,26.40
28/08/2020,00:18:51.399,0.00,26.40
28/08/2020,00:19:01.897,0.00,26.40
28/08/2020,00:19:12.398,0.00,26.40
28/08/2020,00:19:22.897,0.00,26.40
28/08/2020,00:19:32.898,0.00,26.40
28/08/2020,00:19:43.396,0.00,26.40
28/08/2020,00:19:53.895,0.00,26.40
28/08/2020,00:20:03.896,0.00,26.40
28/08/2020,00:20:14.398,0.00,26.40
28/08/2020,00:20:24.398,0.00,26.40
28/08/2020,00:20:34.896,0.00,26.40
28/08/2020,00:20:44.899,0.00,26.40
28/08/2020,00:20:55.398,0.00,26.40
28/08/2020,00:21:05.897,0.00,26.40
28/08/2020,00:21:16.397,0.00,26.40
28/08/2020,00:21:26.398,0.00,26.40
28/08/2020,00:21:36.398,0.00,26.40
28/08/2020,00:21:46.898,0.00,26.40
28/08/2020,00:21:57.398,0.00,26.40
28/08/2020,00:22:07.898,0.00,26.40
28/08/2020,00:22:18.396,0.00,26.40
28/08/2020,00:22:28.398,0.00,26.40
28/08/2020,00:22:38.898,0.00,26.40
28/08/2020,00:22:48.899,0.00,26.40
28/08/2020,00:22:59.397,0.00,26.40
28/08/2020,00:23:09.899,0.00,26.40
28/08/2020,00:23:20.396,0.00,26.40
28/08/2020,00:23:30.397,0.00,26.40
28/08/2020,00:23:40.398,0.00,26.40
28/08/2020,00:23:50.896,0.00,26.40
28/08/2020,00:24:00.899,0.00,26.40
28/08/2020,00:24:11.398,0.00,26.40
28/08/2020,00:24:21.399,0.00,26.40
28/08/2020,00:24:31.898,0.00,26.40
28/08/2020,00:24:42.398,0.00,26.40
28/08/2020,00:24:52.897,0.00,26.40
28/08/2020,00:25:02.897,0.00,26.40
28/08/2020,00:25:13.398,0.00,26.40
28/08/2020,00:25:23.398,0.00,26.40
28/08/2020,00:25:33.399,0.00,26.40
28/08/2020,00:25:43.899,0.00,26.40
28/08/2020,00:25:54.398,0.00,26.30
28/08/2020,00:26:04.899,0.00,26.30
28/08/2020,00:26:15.398,0.00,26.30
28/08/2020,00:26:25.897,0.00,26.30
28/08/2020,00:26:36.397,0.00,26.30
28/08/2020,00:26:46.398,0.00,26.30
28/08/2020,00:26:56.898,0.00,26.30
28/08/2020,00:27:06.898,0.00,26.30
28/08/2020,00:27:16.899,0.00,26.30
28/08/2020,00:27:27.399,0.00,26.30
28/08/2020,00:27:37.898,0.00,26.30
28/08/2020,00:27:48.398,0.00,26.30
28/08/2020,00:27:58.898,0.00,26.30
28/08/2020,00:28:08.898,0.00,26.30
28/08/2020,00:28:19.398,0.00,26.30
28/08/2020,00:28:29.896,0.00,26.30
28/08/2020,00:28:39.899,0.00,26.30
28/08/2020,00:28:50.397,0.00,26.30
28/08/2020,00:29:00.399,0.00,26.30
28/08/2020,00:29:10.899,0.00,26.30
28/08/2020,00:29:21.399,0.00,26.30
28/08/2020,00:29:31.899,0.00,26.30
28/08/2020,00:29:42.398,0.00,26.30
28/08/2020,00:29:52.398,0.00,26.30
28/08/2020,00:30:02.897,0.00,26.30
28/08/2020,00:30:12.898,0.00,26.30
28/08/2020,00:30:23.396,0.00,26.30
28/08/2020,00:30:33.398,0.00,26.30
28/08/2020,00:30:43.898,0.00,26.30
28/08/2020,00:30:54.398,0.00,26.30
28/08/2020,00:31:04.899,0.00,26.30
28/08/2020,00:31:15.399,0.00,26.30
28/08/2020,00:31:25.898,0.00,26.30
28/08/2020,00:31:35.898,0.00,26.30
28/08/2020,00:31:46.398,0.00,26.30
28/08/2020,00:31:56.398,0.00,26.30
28/08/2020,00:32:06.398,0.00,26.30
28/08/2020,00:32:16.399,0.00,26.30
28/08/2020,00:32:26.399,0.00,26.30
28/08/2020,00:32:36.897,0.00,26.30
28/08/2020,00:32:47.396,0.00,26.30
28/08/2020,00:32:57.397,0.00,26.30
28/08/2020,00:33:07.898,0.00,26.30
28/08/2020,00:33:18.397,0.00,26.30
28/08/2020,00:33:28.897,0.00,26.30
28/08/2020,00:33:38.897,0.00,26.30
28/08/2020,00:33:48.899,0.00,26.30
28/08/2020,00:33:59.395,0.00,26.30
28/08/2020,00:34:09.397,0.00,26.30
28/08/2020,00:34:19.897,0.00,26.30
28/08/2020,00:34:30.396,0.00,26.30
28/08/2020,00:34:40.898,0.00,26.30
28/08/2020,00:34:51.398,0.00,26.30
28/08/2020,00:35:01.898,0.00,26.30
28/08/2020,00:35:12.397,0.00,26.30
28/08/2020,00:35:22.897,0.00,26.30
28/08/2020,00:35:32.898,0.00,26.30
28/08/2020,00:35:43.396,0.00,26.30
28/08/2020,00:35:53.398,0.00,26.30
28/08/2020,00:36:03.896,0.00,26.30
28/08/2020,00:36:13.897,0.00,26.30
28/08/2020,00:36:23.897,0.00,26.30
28/08/2020,00:36:33.898,0.00,26.30
28/08/2020,00:36:43.898,0.00,26.30
28/08/2020,00:36:54.398,0.00,26.30
28/08/2020,00:37:04.898,0.00,26.30
28/08/2020,00:37:15.398,0.00,26.20
28/08/2020,00:37:25.898,0.00,26.20
28/08/2020,00:37:36.398,0.00,26.30
28/08/2020,00:37:46.897,0.00,26.20
28/08/2020,00:37:56.898,0.00,26.20
28/08/2020,00:38:07.396,0.00,26.20
28/08/2020,00:38:17.398,0.00,26.20
28/08/2020,00:38:27.898,0.00,26.20
28/08/2020,00:38:38.398,0.00,26.20
28/08/2020,00:38:48.398,0.00,26.20
28/08/2020,00:38:58.898,0.00,26.20
28/08/2020,00:39:09.397,0.00,26.20
28/08/2020,00:39:19.398,0.00,26.20
28/08/2020,00:39:29.398,0.00,26.20
28/08/2020,00:39:39.898,0.00,26.20
28/08/2020,00:39:50.397,0.00,26.20
28/08/2020,00:40:00.397,0.00,26.20
28/08/2020,00:40:10.897,0.00,26.20
28/08/2020,00:40:20.898,0.00,26.20
28/08/2020,00:40:31.398,0.00,26.20
28/08/2020,00:40:41.896,0.00,26.20
28/08/2020,00:40:51.898,0.00,26.20
28/08/2020,00:41:02.398,0.00,26.20
28/08/2020,00:41:12.898,0.00,26.20
28/08/2020,00:41:23.395,0.00,26.20
28/08/2020,00:41:33.398,0.00,26.20
28/08/2020,00:41:43.896,0.00,26.20
28/08/2020,00:41:54.397,0.00,26.20
28/08/2020,00:42:04.897,0.00,26.20
28/08/2020,00:42:15.396,0.00,26.20
28/08/2020,00:42:25.396,0.00,26.20
28/08/2020,00:42:35.897,0.00,26.20
28/08/2020,00:42:46.396,0.00,26.20
28/08/2020,00:42:56.398,0.00,26.20
28/08/2020,00:43:06.897,0.00,26.20
28/08/2020,00:43:17.399,0.00,26.20
28/08/2020,00:43:27.896,0.00,26.20
28/08/2020,00:43:38.395,0.00,26.20
28/08/2020,00:43:48.398,0.00,26.20
28/08/2020,00:43:58.895,0.00,26.20
28/08/2020,00:44:09.397,0.00,26.20
28/08/2020,00:44:19.896,0.00,26.20
28/08/2020,00:44:30.396,0.00,26.20
28/08/2020,00:44:40.897,0.00,26.20
28/08/2020,00:44:51.396,0.00,26.20
28/08/2020,00:45:01.397,0.00,26.20
28/08/2020,00:45:11.898,0.00,26.20
28/08/2020,00:45:22.396,0.00,26.20
28/08/2020,00:45:32.397,0.00,26.20
28/08/2020,00:45:42.897,0.00,26.20
28/08/2020,00:45:53.396,0.00,26.20
28/08/2020,00:46:03.896,0.00,26.10
28/08/2020,00:46:14.395,0.00,26.10
28/08/2020,00:46:24.396,0.00,26.20
28/08/2020,00:46:34.397,0.00,26.10
28/08/2020,00:46:44.897,0.00,26.20
28/08/2020,00:46:54.898,0.00,26.10
28/08/2020,00:47:05.397,0.00,26.10
28/08/2020,00:47:15.898,0.00,26.10
28/08/2020,00:47:26.397,0.00,26.10
28/08/2020,00:47:36.398,0.00,26.10
28/08/2020,00:47:46.896,0.00,26.10
28/08/2020,00:47:57.398,0.00,26.10
28/08/2020,00:48:07.896,0.00,26.10
28/08/2020,00:48:17.897,0.00,26.10
28/08/2020,00:48:27.898,0.00,26.10
28/08/2020,00:48:37.899,0.00,26.10
28/08/2020,00:48:48.399,0.00,26.10
28/08/2020,00:48:58.897,0.00,26.10
28/08/2020,00:49:08.897,0.00,26.10
28/08/2020,00:49:18.898,0.00,26.10
28/08/2020,00:49:29.398,0.00,26.10
28/08/2020,00:49:39.898,0.00,26.10
28/08/2020,00:49:49.898,0.00,26.10
28/08/2020,00:50:00.397,0.00,26.10
28/08/2020,00:50:10.898,0.00,26.10
28/08/2020,00:50:21.398,0.00,26.10
28/08/2020,00:50:31.398,0.00,26.10
28/08/2020,00:50:41.398,0.00,26.10
28/08/2020,00:50:51.899,0.00,26.10
28/08/2020,00:51:02.399,0.00,26.10
28/08/2020,00:51:12.896,0.00,26.10
28/08/2020,00:51:22.898,0.00,26.10
28/08/2020,00:51:33.398,0.00,26.10
28/08/2020,00:51:43.897,0.00,26.10
28/08/2020,00:51:53.898,0.00,26.10
28/08/2020,00:52:04.397,0.00,26.10
28/08/2020,00:52:14.898,0.00,26.10
28/08/2020,00:52:25.397,0.00,26.10
28/08/2020,00:52:35.897,0.00,26.10
28/08/2020,00:52:46.398,0.00,26.10
28/08/2020,00:52:56.398,0.00,26.10
28/08/2020,00:53:06.398,0.00,26.10
28/08/2020,00:53:16.897,0.00,26.10
28/08/2020,00:53:26.898,0.00,26.10
28/08/2020,00:53:36.898,0.00,26.10
28/08/2020,00:53:47.397,0.00,26.10
28/08/2020,00:53:57.398,0.00,26.10
28/08/2020,00:54:07.899,0.00,26.10
28/08/2020,00:54:18.396,0.00,26.10
28/08/2020,00:54:28.397,0.00,26.10
28/08/2020,00:54:38.398,0.00,26.10
28/08/2020,00:54:48.398,0.00,26.10
28/08/2020,00:54:58.898,0.00,26.10
28/08/2020,00:55:09.396,0.00,26.10
28/08/2020,00:55:19.397,0.00,26.10
28/08/2020,00:55:29.397,0.00,26.10
28/08/2020,00:55:39.896,0.00,26.10
28/08/2020,00:55:49.897,0.00,26.10
28/08/2020,00:55:59.898,0.00,26.10
28/08/2020,00:56:10.398,0.00,26.10
28/08/2020,00:56:20.898,0.00,26.10
28/08/2020,00:56:31.399,0.00,26.10
28/08/2020,00:56:41.898,0.00,26.10
28/08/2020,00:56:52.399,0.00,26.10
28/08/2020,00:57:02.897,0.00,26.10
28/08/2020,00:57:12.899,0.00,26.10
28/08/2020,00:57:23.399,0.00,26.10
28/08/2020,00:57:33.898,0.00,26.10
