Date, Time,Heater setpoint,Heater temperature
24/08/2020,00:00:06.592,0.00,127.20
24/08/2020,00:00:16.592,0.00,126.80
24/08/2020,00:00:27.092,0.00,126.40
24/08/2020,00:00:37.092,0.00,126.00
24/08/2020,00:00:47.593,0.00,125.60
24/08/2020,00:00:58.092,0.00,125.20
24/08/2020,00:01:08.591,0.00,124.80
24/08/2020,00:01:18.593,0.00,124.40
24/08/2020,00:01:28.593,0.00,124.00
24/08/2020,00:01:39.092,0.00,123.60
24/08/2020,00:01:49.591,0.00,123.20
24/08/2020,00:01:59.592,0.00,122.80
24/08/2020,00:02:10.092,0.00,122.40
24/08/2020,00:02:20.092,0.00,122.00
24/08/2020,00:02:30.592,0.00,121.60
24/08/2020,00:02:41.092,0.00,121.30
24/08/2020,00:02:51.592,0.00,120.90
24/08/2020,00:03:02.091,0.00,120.50
24/08/2020,00:03:12.093,0.00,120.10
24/08/2020,00:03:22.593,0.00,119.70
24/08/2020,00:03:33.093,0.00,119.40
24/08/2020,00:03:43.592,0.00,119.00
24/08/2020,00:03:54.093,0.00,118.60
24/08/2020,00:04:04.094,0.00,118.30
24/08/2020,00:04:14.593,0.00,117.90
24/08/2020,00:04:25.093,0.00,117.50
24/08/2020,00:04:35.094,0.00,117.20
24/08/2020,00:04:45.591,0.00,116.80
24/08/2020,00:04:55.592,0.00,116.50
24/08/2020,00:05:06.093,0.00,116.10
24/08/2020,00:05:16.593,0.00,115.70
24/08/2020,00:05:27.093,0.00,115.40
24/08/2020,00:05:37.093,0.00,115.00
24/08/2020,00:05:47.591,0.00,114.70
24/08/2020,00:05:57.591,0.00,114.30
24/08/2020,00:06:07.592,0.00,114.00
24/08/2020,00:06:17.592,0.00,113.70
24/08/2020,00:06:27.593,0.00,113.30
24/08/2020,00:06:38.090,0.00,113.00
24/08/2020,00:06:48.093,0.00,112.70
24/08/2020,00:06:58.591,0.00,112.30
24/08/2020,00:07:09.092,0.00,112.00
24/08/2020,00:07:19.093,0.00,111.70
24/08/2020,00:07:29.590,0.00,111.30
24/08/2020,00:07:39.592,0.00,111.00
24/08/2020,00:07:49.592,0.00,110.70
24/08/2020,00:08:00.090,0.00,110.40
24/08/2020,00:08:10.091,0.00,110.00
24/08/2020,00:08:20.091,0.00,109.70
24/08/2020,00:08:30.094,0.00,109.40
24/08/2020,00:08:40.590,0.00,109.10
24/08/2020,00:08:50.592,0.00,108.80
24/08/2020,00:09:00.593,0.00,108.50
24/08/2020,00:09:11.092,0.00,108.10
24/08/2020,00:09:21.092,0.00,107.80
24/08/2020,00:09:31.591,0.00,107.50
24/08/2020,00:09:41.592,0.00,107.20
24/08/2020,00:09:52.090,0.00,106.90
24/08/2020,00:10:02.092,0.00,106.60
24/08/2020,00:10:12.093,0.00,106.30
24/08/2020,00:10:22.592,0.00,106.00
24/08/2020,00:10:33.093,0.00,105.70
24/08/2020,00:10:43.093,0.00,105.40
24/08/2020,00:10:53.590,0.00,105.10
24/08/2020,00:11:03.591,0.00,104.80
24/08/2020,00:11:14.092,0.00,104.50
24/08/2020,00:11:24.591,0.00,104.20
24/08/2020,00:11:35.091,0.00,103.90
24/08/2020,00:11:45.591,0.00,103.60
24/08/2020,00:11:56.091,0.00,103.30
24/08/2020,00:12:06.591,0.00,103.00
24/08/2020,00:12:16.592,0.00,102.70
24/08/2020,00:12:27.091,0.00,102.40
24/08/2020,00:12:37.590,0.00,102.10
24/08/2020,00:12:47.591,0.00,101.90
24/08/2020,00:12:57.592,0.00,101.60
24/08/2020,00:13:07.593,0.00,101.30
24/08/2020,00:13:18.091,0.00,101.00
24/08/2020,00:13:28.591,0.00,100.80
24/08/2020,00:13:39.091,0.00,100.50
24/08/2020,00:13:49.590,0.00,100.20
24/08/2020,00:13:59.591,0.00,99.90
24/08/2020,00:14:09.592,0.00,99.70
24/08/2020,00:14:20.088,0.00,99.40
24/08/2020,00:14:30.092,0.00,99.10
24/08/2020,00:14:40.092,0.00,98.90
24/08/2020,00:14:50.591,0.00,98.60
24/08/2020,00:15:00.593,0.00,98.30
24/08/2020,00:15:11.092,0.00,98.10
24/08/2020,00:15:21.590,0.00,97.80
24/08/2020,00:15:31.591,0.00,97.50
24/08/2020,00:15:41.592,0.00,97.30
24/08/2020,00:15:52.091,0.00,97.00
24/08/2020,00:16:02.092,0.00,96.80
