Date, Time,Heater setpoint,Heater temperature
06/09/2020,00:00:04.002,0.00,29.90
06/09/2020,00:00:14.502,0.00,29.90
06/09/2020,00:00:25.000,0.00,29.90
06/09/2020,00:00:35.001,0.00,29.90
06/09/2020,00:00:45.499,0.00,29.90
06/09/2020,00:00:55.500,0.00,29.90
06/09/2020,00:01:05.500,0.00,29.80
06/09/2020,00:01:16.000,0.00,29.80
06/09/2020,00:01:26.001,0.00,29.80
06/09/2020,00:01:36.002,0.00,29.80
06/09/2020,00:01:46.500,0.00,29.80
06/09/2020,00:01:57.001,0.00,29.80
06/09/2020,00:02:07.500,0.00,29.80
06/09/2020,00:02:17.502,0.00,29.70
06/09/2020,00:02:28.000,0.00,29.70
06/09/2020,00:02:38.502,0.00,29.70
06/09/2020,00:02:49.002,0.00,29.70
06/09/2020,00:02:59.500,0.00,29.70
06/09/2020,00:03:10.001,0.00,29.70
06/09/2020,00:03:20.002,0.00,29.60
06/09/2020,00:03:30.002,0.00,29.60
06/09/2020,00:03:40.501,0.00,29.60
06/09/2020,00:03:50.502,0.00,29.60
06/09/2020,00:04:00.502,0.00,29.60
06/09/2020,00:04:11.001,0.00,29.60
06/09/2020,00:04:21.502,0.00,29.50
06/09/2020,00:04:32.000,0.00,29.50
06/09/2020,00:04:42.002,0.00,29.50
06/09/2020,00:04:52.499,0.00,29.50
06/09/2020,00:05:02.500,0.00,29.50
06/09/2020,00:05:13.001,0.00,29.50
06/09/2020,00:05:23.501,0.00,29.40
06/09/2020,00:05:33.501,0.00,29.40
06/09/2020,00:05:43.501,0.00,29.40
06/09/2020,00:05:54.001,0.00,29.40
06/09/2020,00:06:04.003,0.00,29.40
06/09/2020,00:06:14.502,0.00,29.40
06/09/2020,00:06:25.002,0.00,29.40
06/09/2020,00:06:35.500,0.00,29.30
06/09/2020,00:06:45.501,0.00,29.30
06/09/2020,00:06:55.999,0.00,29.30
06/09/2020,00:07:06.002,0.00,29.30
06/09/2020,00:07:16.500,0.00,29.30
06/09/2020,00:07:26.501,0.00,29.30
06/09/2020,00:07:37.000,0.00,29.20
06/09/2020,00:07:47.501,0.00,29.20
06/09/2020,00:07:58.000,0.00,29.20
06/09/2020,00:08:08.502,0.00,29.20
06/09/2020,00:08:19.002,0.00,29.20
06/09/2020,00:08:29.502,0.00,29.20
06/09/2020,00:08:40.001,0.00,29.20
06/09/2020,00:08:50.500,0.00,29.10
06/09/2020,00:09:01.002,0.00,29.10
06/09/2020,00:09:11.499,0.00,29.10
06/09/2020,00:09:21.500,0.00,29.10
06/09/2020,00:09:31.501,0.00,29.10
06/09/2020,00:09:41.999,0.00,29.10
06/09/2020,00:09:51.999,0.00,29.00
06/09/2020,00:10:01.999,0.00,29.00
06/09/2020,00:10:12.000,0.00,29.00
06/09/2020,00:10:22.001,0.00,29.00
06/09/2020,00:10:32.502,0.00,29.00
06/09/2020,00:10:43.001,0.00,29.00
06/09/2020,00:10:53.501,0.00,29.00
06/09/2020,00:11:04.001,0.00,28.90
06/09/2020,00:11:14.502,0.00,28.90
06/09/2020,00:11:25.000,0.00,28.90
06/09/2020,00:11:35.500,0.00,28.90
06/09/2020,00:11:45.501,0.00,28.90
06/09/2020,00:11:56.000,0.00,28.90
06/09/2020,00:12:06.002,0.00,28.90
06/09/2020,00:12:16.501,0.00,28.80
06/09/2020,00:12:26.502,0.00,28.80
06/09/2020,00:12:37.001,0.00,28.80
06/09/2020,00:12:47.501,0.00,28.80
06/09/2020,00:12:58.000,0.00,28.80
06/09/2020,00:13:08.500,0.00,28.80
06/09/2020,00:13:19.001,0.00,28.80
06/09/2020,00:13:29.502,0.00,28.70
06/09/2020,00:13:40.001,0.00,28.70
06/09/2020,00:13:50.501,0.00,28.70
06/09/2020,00:14:01.001,0.00,28.70
06/09/2020,00:14:11.500,0.00,28.70
06/09/2020,00:14:21.502,0.00,28.70
06/09/2020,00:14:32.001,0.00,28.70
06/09/2020,00:14:42.500,0.00,28.70
06/09/2020,00:14:53.000,0.00,28.60
06/09/2020,00:15:03.001,0.00,28.60
