Date, Time,Heater setpoint,Heater temperature
30/08/2020,00:00:08.464,0.00,68.70
30/08/2020,00:00:18.964,0.00,68.60
30/08/2020,00:00:29.463,0.00,68.50
30/08/2020,00:00:39.464,0.00,68.40
30/08/2020,00:00:49.964,0.00,68.30
30/08/2020,00:01:00.461,0.00,68.20
30/08/2020,00:01:10.463,0.00,68.00
30/08/2020,00:01:20.962,0.00,67.90
30/08/2020,00:01:30.964,0.00,67.80
30/08/2020,00:01:41.462,0.00,67.70
30/08/2020,00:01:51.463,0.00,67.60
30/08/2020,00:02:01.964,0.00,67.50
30/08/2020,00:02:12.463,0.00,67.40
30/08/2020,00:02:22.961,0.00,67.30
30/08/2020,00:02:32.962,0.00,67.10
30/08/2020,00:02:42.963,0.00,67.00
30/08/2020,00:02:53.462,0.00,67.00
30/08/2020,00:03:03.463,0.00,66.90
30/08/2020,00:03:13.964,0.00,66.70
30/08/2020,00:03:24.462,0.00,66.60
30/08/2020,00:03:34.463,0.00,66.50
30/08/2020,00:03:44.961,0.00,66.40
30/08/2020,00:03:54.964,0.00,66.30
30/08/2020,00:04:05.462,0.00,66.20
30/08/2020,00:04:15.463,0.00,66.10
30/08/2020,00:04:25.961,0.00,66.00
30/08/2020,00:04:35.962,0.00,65.90
30/08/2020,00:04:46.464,0.00,65.80
30/08/2020,00:04:56.964,0.00,65.70
30/08/2020,00:05:07.461,0.00,65.60
30/08/2020,00:05:17.463,0.00,65.50
30/08/2020,00:05:27.962,0.00,65.40
30/08/2020,00:05:38.462,0.00,65.20
30/08/2020,00:05:48.463,0.00,65.10
30/08/2020,00:05:58.962,0.00,65.00
30/08/2020,00:06:09.462,0.00,64.90
30/08/2020,00:06:19.463,0.00,64.80
30/08/2020,00:06:29.963,0.00,64.70
30/08/2020,00:06:40.462,0.00,64.60
30/08/2020,00:06:50.961,0.00,64.50
30/08/2020,00:07:00.962,0.00,64.40
30/08/2020,00:07:10.963,0.00,64.30
30/08/2020,00:07:21.461,0.00,64.20
30/08/2020,00:07:31.961,0.00,64.10
30/08/2020,00:07:41.963,0.00,64.00
30/08/2020,00:07:52.461,0.00,63.90
30/08/2020,00:08:02.463,0.00,63.80
30/08/2020,00:08:12.960,0.00,63.70
30/08/2020,00:08:22.962,0.00,63.60
30/08/2020,00:08:32.962,0.00,63.50
30/08/2020,00:08:42.963,0.00,63.40
30/08/2020,00:08:53.463,0.00,63.30
30/08/2020,00:09:03.963,0.00,63.30
30/08/2020,00:09:14.463,0.00,63.10
30/08/2020,00:09:24.963,0.00,63.10
30/08/2020,00:09:34.963,0.00,63.00
30/08/2020,00:09:44.963,0.00,62.90
30/08/2020,00:09:55.460,0.00,62.80
30/08/2020,00:10:05.462,0.00,62.70
30/08/2020,00:10:15.463,0.00,62.60
30/08/2020,00:10:25.463,0.00,62.50
30/08/2020,00:10:35.961,0.00,62.40
30/08/2020,00:10:45.962,0.00,62.30
30/08/2020,00:10:56.462,0.00,62.20
30/08/2020,00:11:06.962,0.00,62.10
30/08/2020,00:11:17.463,0.00,62.00
30/08/2020,00:11:27.962,0.00,61.90
30/08/2020,00:11:37.963,0.00,61.80
30/08/2020,00:11:48.462,0.00,61.70
30/08/2020,00:11:58.962,0.00,61.60
30/08/2020,00:12:09.463,0.00,61.50
30/08/2020,00:12:19.962,0.00,61.40
30/08/2020,00:12:30.461,0.00,61.30
30/08/2020,00:12:40.462,0.00,61.30
30/08/2020,00:12:50.963,0.00,61.20
30/08/2020,00:13:00.963,0.00,61.10
30/08/2020,00:13:11.462,0.00,61.00
30/08/2020,00:13:21.463,0.00,60.90
30/08/2020,00:13:31.961,0.00,60.80
30/08/2020,00:13:42.460,0.00,60.70
30/08/2020,00:13:52.462,0.00,60.60
30/08/2020,00:14:02.963,0.00,60.50
30/08/2020,00:14:13.463,0.00,60.40
30/08/2020,00:14:23.963,0.00,60.40
30/08/2020,00:14:34.461,0.00,60.30
30/08/2020,00:14:44.462,0.00,60.20
30/08/2020,00:14:54.962,0.00,60.10
30/08/2020,00:15:05.462,0.00,60.00
30/08/2020,00:15:15.464,0.00,59.90
30/08/2020,00:15:25.963,0.00,59.80
30/08/2020,00:15:36.461,0.00,59.70
30/08/2020,00:15:46.962,0.00,59.60
30/08/2020,00:15:57.460,0.00,59.60
30/08/2020,00:16:07.461,0.00,59.50
30/08/2020,00:16:17.961,0.00,59.40
30/08/2020,00:16:28.461,0.00,59.30
30/08/2020,00:16:38.961,0.00,59.20
30/08/2020,00:16:49.462,0.00,59.10
30/08/2020,00:16:59.961,0.00,59.00
30/08/2020,00:17:10.462,0.00,58.90
30/08/2020,00:17:20.964,0.00,58.80
30/08/2020,00:17:31.461,0.00,58.80
30/08/2020,00:17:41.962,0.00,58.70
30/08/2020,00:17:52.461,0.00,58.60
30/08/2020,00:18:02.960,0.00,58.50
30/08/2020,00:18:12.961,0.00,58.40
30/08/2020,00:18:22.962,0.00,58.30
30/08/2020,00:18:32.963,0.00,58.30
30/08/2020,00:18:42.964,0.00,58.20
30/08/2020,00:18:53.463,0.00,58.10
30/08/2020,00:19:03.962,0.00,58.00
30/08/2020,00:19:14.463,0.00,57.90
30/08/2020,00:19:24.463,0.00,57.90
30/08/2020,00:19:34.963,0.00,57.80
30/08/2020,00:19:45.461,0.00,57.70
30/08/2020,00:19:55.464,0.00,57.60
30/08/2020,00:20:05.464,0.00,57.50
30/08/2020,00:20:15.962,0.00,57.40
30/08/2020,00:20:25.963,0.00,57.40
30/08/2020,00:20:36.463,0.00,57.30
30/08/2020,00:20:46.961,0.00,57.20
30/08/2020,00:20:56.963,0.00,57.10
30/08/2020,00:21:06.963,0.00,57.10
30/08/2020,00:21:16.964,0.00,57.00
30/08/2020,00:21:27.461,0.00,56.90
30/08/2020,00:21:37.463,0.00,56.80
30/08/2020,00:21:47.464,0.00,56.70
30/08/2020,00:21:57.964,0.00,56.70
30/08/2020,00:22:08.461,0.00,56.60
30/08/2020,00:22:18.464,0.00,56.50
30/08/2020,00:22:28.963,0.00,56.40
30/08/2020,00:22:39.463,0.00,56.30
30/08/2020,00:22:49.463,0.00,56.20
30/08/2020,00:22:59.464,0.00,56.20
30/08/2020,00:23:09.965,0.00,56.10
30/08/2020,00:23:20.463,0.00,56.00
30/08/2020,00:23:30.463,0.00,56.00
30/08/2020,00:23:40.963,0.00,55.90
30/08/2020,00:23:51.463,0.00,55.80
30/08/2020,00:24:01.464,0.00,55.70
30/08/2020,00:24:11.964,0.00,55.60
30/08/2020,00:24:22.463,0.00,55.60
30/08/2020,00:24:32.963,0.00,55.50
30/08/2020,00:24:43.463,0.00,55.40
30/08/2020,00:24:53.963,0.00,55.30
30/08/2020,00:25:03.963,0.00,55.30
30/08/2020,00:25:14.462,0.00,55.20
30/08/2020,00:25:24.462,0.00,55.10
30/08/2020,00:25:34.463,0.00,55.00
30/08/2020,00:25:44.464,0.00,55.00
30/08/2020,00:25:54.963,0.00,54.90
30/08/2020,00:26:05.464,0.00,54.80
30/08/2020,00:26:15.962,0.00,54.80
30/08/2020,00:26:25.963,0.00,54.70
30/08/2020,00:26:35.963,0.00,54.60
30/08/2020,00:26:46.464,0.00,54.50
30/08/2020,00:26:56.961,0.00,54.50
30/08/2020,00:27:06.964,0.00,54.40
30/08/2020,00:27:16.964,0.00,54.30
30/08/2020,00:27:27.463,0.00,54.20
30/08/2020,00:27:37.463,0.00,54.20
30/08/2020,00:27:47.961,0.00,54.10
30/08/2020,00:27:57.964,0.00,54.00
30/08/2020,00:28:08.464,0.00,54.00
30/08/2020,00:28:18.961,0.00,53.90
30/08/2020,00:28:28.961,0.00,53.80
30/08/2020,00:28:38.963,0.00,53.80
30/08/2020,00:28:49.463,0.00,53.70
30/08/2020,00:28:59.961,0.00,53.60
30/08/2020,00:29:09.962,0.00,53.50
30/08/2020,00:29:19.964,0.00,53.50
30/08/2020,00:29:30.463,0.00,53.40
30/08/2020,00:29:40.961,0.00,53.30
30/08/2020,00:29:50.961,0.00,53.30
30/08/2020,00:30:00.962,0.00,53.20
30/08/2020,00:30:11.462,0.00,53.10
30/08/2020,00:30:21.463,0.00,53.10
30/08/2020,00:30:31.962,0.00,53.00
30/08/2020,00:30:41.964,0.00,52.90
30/08/2020,00:30:52.461,0.00,52.80
30/08/2020,00:31:02.462,0.00,52.80
30/08/2020,00:31:12.961,0.00,52.70
30/08/2020,00:31:22.962,0.00,52.60
30/08/2020,00:31:32.963,0.00,52.60
30/08/2020,00:31:42.963,0.00,52.50
30/08/2020,00:31:53.462,0.00,52.40
30/08/2020,00:32:03.961,0.00,52.40
30/08/2020,00:32:13.962,0.00,52.30
30/08/2020,00:32:24.461,0.00,52.20
30/08/2020,00:32:34.462,0.00,52.20
