Date, Time,Heater setpoint,Heater temperature
04/08/2020,00:00:00.117,0.00,55.10
04/08/2020,00:00:10.615,0.00,55.00
04/08/2020,00:00:20.615,0.00,55.00
04/08/2020,00:00:30.616,0.00,54.90
04/08/2020,00:00:41.116,0.00,54.80
04/08/2020,00:00:51.116,0.00,54.70
04/08/2020,00:01:01.116,0.00,54.60
04/08/2020,00:01:11.116,0.00,54.50
04/08/2020,00:01:21.616,0.00,54.50
04/08/2020,00:01:32.116,0.00,54.40
04/08/2020,00:01:42.617,0.00,54.30
04/08/2020,00:01:53.114,0.00,54.20
04/08/2020,00:02:03.116,0.00,54.10
04/08/2020,00:02:13.614,0.00,54.00
04/08/2020,00:02:23.616,0.00,54.00
04/08/2020,00:02:33.617,0.00,53.90
04/08/2020,00:02:44.115,0.00,53.80
04/08/2020,00:02:54.115,0.00,53.80
04/08/2020,00:03:04.617,0.00,53.70
04/08/2020,00:03:15.115,0.00,53.60
04/08/2020,00:03:25.617,0.00,53.50
04/08/2020,00:03:36.115,0.00,53.40
04/08/2020,00:03:46.116,0.00,53.30
04/08/2020,00:03:56.615,0.00,53.30
04/08/2020,00:04:06.615,0.00,53.20
04/08/2020,00:04:16.617,0.00,53.10
04/08/2020,00:04:27.115,0.00,53.00
04/08/2020,00:04:37.116,0.00,52.90
04/08/2020,00:04:47.614,0.00,52.90
04/08/2020,00:04:57.615,0.00,52.80
04/08/2020,00:05:07.617,0.00,52.70
04/08/2020,00:05:18.115,0.00,52.60
04/08/2020,00:05:28.116,0.00,52.60
04/08/2020,00:05:38.616,0.00,52.50
04/08/2020,00:05:49.114,0.00,52.40
04/08/2020,00:05:59.116,0.00,52.30
04/08/2020,00:06:09.614,0.00,52.30
04/08/2020,00:06:19.615,0.00,52.20
04/08/2020,00:06:29.615,0.00,52.10
04/08/2020,00:06:39.619,0.00,52.00
04/08/2020,00:06:50.117,0.00,52.00
04/08/2020,00:07:00.121,0.00,51.90
04/08/2020,00:07:10.621,0.00,51.80
04/08/2020,00:07:21.114,0.00,51.70
04/08/2020,00:07:31.115,0.00,51.70
04/08/2020,00:07:41.117,0.00,51.60
04/08/2020,00:07:51.615,0.00,51.50
04/08/2020,00:08:01.616,0.00,51.50
04/08/2020,00:08:12.117,0.00,51.40
04/08/2020,00:08:22.619,0.00,51.30
04/08/2020,00:08:33.117,0.00,51.20
04/08/2020,00:08:43.618,0.00,51.10
04/08/2020,00:08:54.116,0.00,51.10
04/08/2020,00:09:04.616,0.00,51.00
04/08/2020,00:09:15.114,0.00,50.90
04/08/2020,00:09:25.116,0.00,50.90
04/08/2020,00:09:35.614,0.00,50.80
04/08/2020,00:09:45.616,0.00,50.70
04/08/2020,00:09:56.116,0.00,50.60
04/08/2020,00:10:06.615,0.00,50.60
04/08/2020,00:10:17.114,0.00,50.50
04/08/2020,00:10:27.115,0.00,50.40
04/08/2020,00:10:37.615,0.00,50.40
04/08/2020,00:10:48.114,0.00,50.30
04/08/2020,00:10:58.114,0.00,50.20
04/08/2020,00:11:08.116,0.00,50.20
04/08/2020,00:11:18.117,0.00,50.10
04/08/2020,00:11:28.613,0.00,50.00
04/08/2020,00:11:38.615,0.00,50.00
04/08/2020,00:11:48.615,0.00,49.90
04/08/2020,00:11:58.618,0.00,49.80
04/08/2020,00:12:09.115,0.00,49.80
04/08/2020,00:12:19.115,0.00,49.70
04/08/2020,00:12:29.616,0.00,49.60
04/08/2020,00:12:40.114,0.00,49.60
04/08/2020,00:12:50.115,0.00,49.50
04/08/2020,00:13:00.117,0.00,49.40
04/08/2020,00:13:10.616,0.00,49.40
04/08/2020,00:13:21.115,0.00,49.30
04/08/2020,00:13:31.116,0.00,49.20
04/08/2020,00:13:41.616,0.00,49.20
04/08/2020,00:13:52.116,0.00,49.10
04/08/2020,00:14:02.117,0.00,49.00
04/08/2020,00:14:12.616,0.00,49.00
04/08/2020,00:14:23.115,0.00,48.90
04/08/2020,00:14:33.116,0.00,48.80
04/08/2020,00:14:43.616,0.00,48.80
04/08/2020,00:14:54.115,0.00,48.70
04/08/2020,00:15:04.116,0.00,48.60
04/08/2020,00:15:14.616,0.00,48.60
04/08/2020,00:15:25.115,0.00,48.50
04/08/2020,00:15:35.121,0.00,48.40
